project,date,drivers,samples,boards,cloc,numberOfCommits,numberOfCommitsPastMonth,numberOfUniqueContributorsPastMonth
Azure RTOS ThreadX,2013-04-30,,,,,,,
Azure RTOS ThreadX,2013-05-31,,,,,,,
Azure RTOS ThreadX,2013-06-30,,,,,,,
Azure RTOS ThreadX,2013-07-31,,,,,,,
Azure RTOS ThreadX,2013-08-31,,,,,,,
Azure RTOS ThreadX,2013-09-30,,,,,,,
Azure RTOS ThreadX,2013-10-31,,,,,,,
Azure RTOS ThreadX,2013-11-30,,,,,,,
Azure RTOS ThreadX,2013-12-31,,,,,,,
Azure RTOS ThreadX,2014-01-31,,,,,,,
Azure RTOS ThreadX,2014-02-28,,,,,,,
Azure RTOS ThreadX,2014-03-31,,,,,,,
Azure RTOS ThreadX,2014-04-30,,,,,,,
Azure RTOS ThreadX,2014-05-31,,,,,,,
Azure RTOS ThreadX,2014-06-30,,,,,,,
Azure RTOS ThreadX,2014-07-31,,,,,,,
Azure RTOS ThreadX,2014-08-31,,,,,,,
Azure RTOS ThreadX,2014-09-30,,,,,,,
Azure RTOS ThreadX,2014-10-31,,,,,,,
Azure RTOS ThreadX,2014-11-30,,,,,,,
Azure RTOS ThreadX,2014-12-31,,,,,,,
Azure RTOS ThreadX,2015-01-31,,,,,,,
Azure RTOS ThreadX,2015-02-28,,,,,,,
Azure RTOS ThreadX,2015-03-31,,,,,,,
Azure RTOS ThreadX,2015-04-30,,,,,,,
Azure RTOS ThreadX,2015-05-31,,,,,,,
Azure RTOS ThreadX,2015-06-30,,,,,,,
Azure RTOS ThreadX,2015-07-31,,,,,,,
Azure RTOS ThreadX,2015-08-31,,,,,,,
Azure RTOS ThreadX,2015-09-30,,,,,,,
Azure RTOS ThreadX,2015-10-31,,,,,,,
Azure RTOS ThreadX,2015-11-30,,,,,,,
Azure RTOS ThreadX,2015-12-31,,,,,,,
Azure RTOS ThreadX,2016-01-31,,,,,,,
Azure RTOS ThreadX,2016-02-29,,,,,,,
Azure RTOS ThreadX,2016-03-31,,,,,,,
Azure RTOS ThreadX,2016-04-30,,,,,,,
Azure RTOS ThreadX,2016-05-31,,,,,,,
Azure RTOS ThreadX,2016-06-30,,,,,,,
Azure RTOS ThreadX,2016-07-31,,,,,,,
Azure RTOS ThreadX,2016-08-31,,,,,,,
Azure RTOS ThreadX,2016-09-30,,,,,,,
Azure RTOS ThreadX,2016-10-31,,,,,,,
Azure RTOS ThreadX,2016-11-30,,,,,,,
Azure RTOS ThreadX,2016-12-31,,,,,,,
Azure RTOS ThreadX,2017-01-31,,,,,,,
Azure RTOS ThreadX,2017-02-28,,,,,,,
Azure RTOS ThreadX,2017-03-31,,,,,,,
Azure RTOS ThreadX,2017-04-30,,,,,,,
Azure RTOS ThreadX,2017-05-31,,,,,,,
Azure RTOS ThreadX,2017-06-30,,,,,,,
Azure RTOS ThreadX,2017-07-31,,,,,,,
Azure RTOS ThreadX,2017-08-31,,,,,,,
Azure RTOS ThreadX,2017-09-30,,,,,,,
Azure RTOS ThreadX,2017-10-31,,,,,,,
Azure RTOS ThreadX,2017-11-30,,,,,,,
Azure RTOS ThreadX,2017-12-31,,,,,,,
Azure RTOS ThreadX,2018-01-31,,,,,,,
Azure RTOS ThreadX,2018-02-28,,,,,,,
Azure RTOS ThreadX,2018-03-31,,,,,,,
Azure RTOS ThreadX,2018-04-30,,,,,,,
Azure RTOS ThreadX,2018-05-31,,,,,,,
Azure RTOS ThreadX,2018-06-30,,,,,,,
Azure RTOS ThreadX,2018-07-31,,,,,,,
Azure RTOS ThreadX,2018-08-31,,,,,,,
Azure RTOS ThreadX,2018-09-30,,,,,,,
Azure RTOS ThreadX,2018-10-31,,,,,,,
Azure RTOS ThreadX,2018-11-30,,,,,,,
Azure RTOS ThreadX,2018-12-31,,,,,,,
Azure RTOS ThreadX,2019-01-31,,,,,,,
Azure RTOS ThreadX,2019-02-28,,,,,,,
Azure RTOS ThreadX,2019-03-31,,,,,,,
Azure RTOS ThreadX,2019-04-30,,,,,,,
Azure RTOS ThreadX,2019-05-31,,,,,,,
Azure RTOS ThreadX,2019-06-30,,,,,,,
Azure RTOS ThreadX,2019-07-31,,,,,,,
Azure RTOS ThreadX,2019-08-31,,,,,,,
